timestamp,open,close,xbtusd_daily_change,ADAH20_daily_btc,ADAH20_daily_usd,ADAH20_cumulative_btc
2019-12-15 00:00:00+00:00,7242.0,7060.5,-2.51,0.0,-2.51,0.0
2019-12-17 00:00:00+00:00,7107.5,6873.0,-3.3,-4.05,-7.35,-4.05
2019-12-18 00:00:00+00:00,6873.0,6611.5,-3.8,-4.22,-8.02,-8.27
2019-12-20 00:00:00+00:00,7288.0,7148.5,-1.91,-2.72,-4.63,-10.99
2019-12-22 00:00:00+00:00,7186.5,7140.0,-0.65,-1.69,-2.34,-12.68
2019-12-24 00:00:00+00:00,7509.5,7312.0,-2.63,-1.72,-4.35,-14.4
2019-12-25 00:00:00+00:00,7312.0,7249.0,-0.86,3.07,2.21,-11.33
2019-12-26 00:00:00+00:00,7249.0,7194.5,-0.75,-0.64,-1.39,-11.97
2019-12-27 00:00:00+00:00,7194.5,7190.0,-0.06,1.71,1.65,-10.26
2019-12-31 00:00:00+00:00,7381.5,7218.5,-2.21,-0.21,-2.42,-10.47
2020-01-01 00:00:00+00:00,7218.5,7163.0,-0.77,-0.65,-1.42,-11.12
2020-01-03 00:00:00+00:00,7179.0,6942.0,-3.3,1.07,-2.23,-10.05
2020-01-09 00:00:00+00:00,8155.5,8046.0,-1.34,-0.66,-2.0,-10.71
2020-01-10 00:00:00+00:00,8046.0,7810.5,-2.93,2.21,-0.72,-8.5
2020-01-12 00:00:00+00:00,8204.0,8023.5,-2.2,1.09,-1.11,-7.41
2020-01-14 00:00:00+00:00,8187.0,8104.5,-1.01,-1.5,-2.51,-8.91
2020-01-16 00:00:00+00:00,8835.5,8816.5,-0.22,3.38,3.16,-5.53
2020-01-17 00:00:00+00:00,8816.5,8719.0,-1.11,-1.64,-2.75,-7.17
2020-01-20 00:00:00+00:00,8916.5,8700.5,-2.42,-3.17,-5.59,-10.34
2020-01-21 00:00:00+00:00,8700.5,8632.5,-0.78,3.68,2.9,-6.66
2020-01-23 00:00:00+00:00,8727.5,8664.5,-0.72,0.57,-0.15,-6.09
2020-01-24 00:00:00+00:00,8664.5,8392.0,-3.15,-2.25,-5.4,-8.34
2020-01-26 00:00:00+00:00,8425.5,8326.0,-1.18,-2.79,-3.97,-11.13
2020-01-30 00:00:00+00:00,9400.0,9294.5,-1.12,1.58,0.46,-9.55
2020-02-01 00:00:00+00:00,9510.0,9339.5,-1.79,-2.52,-4.31,-12.07
2020-02-03 00:00:00+00:00,9382.0,9325.0,-0.61,-0.5,-1.11,-12.57
2020-02-04 00:00:00+00:00,9325.0,9282.0,-0.46,2.99,2.53,-9.58
2020-02-05 00:00:00+00:00,9282.0,9166.0,-1.25,-0.81,-2.06,-10.39
2020-02-11 00:00:00+00:00,10172.5,9862.5,-3.05,0.65,-2.4,-9.74
2020-02-14 00:00:00+00:00,10363.0,10241.0,-1.18,1.94,0.76,-7.8
2020-02-16 00:00:00+00:00,10369.5,9907.0,-4.46,-5.99,-10.45,-13.79
2020-02-18 00:00:00+00:00,9934.0,9715.0,-2.2,-0.32,-2.52,-14.11
2020-02-20 00:00:00+00:00,10195.5,9596.5,-5.88,-3.83,-9.71,-17.94
2020-02-23 00:00:00+00:00,9694.0,9675.5,-0.19,0.16,-0.03,-17.78
2020-02-25 00:00:00+00:00,9966.0,9660.5,-3.07,-1.59,-4.66,-19.37
2020-02-26 00:00:00+00:00,9660.5,9317.0,-3.56,-0.81,-4.37,-20.18
2020-02-27 00:00:00+00:00,9317.0,8780.0,-5.76,-8.32,-14.08,-28.5
2020-02-29 00:00:00+00:00,8820.0,8717.5,-1.16,-0.35,-1.51,-28.85
2020-03-01 00:00:00+00:00,8717.5,8531.5,-2.13,-1.77,-3.9,-30.62
2020-03-04 00:00:00+00:00,8918.5,8757.0,-1.81,0.36,-1.45,-30.26
2020-03-05 00:00:00+00:00,8757.0,8756.5,-0.01,0.36,0.35,-29.9
2020-03-08 00:00:00+00:00,9158.5,8900.0,-2.82,-3.15,-5.97,-33.05
2020-03-09 00:00:00+00:00,8900.0,8038.5,-9.68,-3.44,-13.12,-36.49
2020-03-10 00:00:00+00:00,8038.5,7928.0,-1.37,-2.25,-3.62,-38.74
2020-03-11 00:00:00+00:00,7928.0,7889.5,-0.49,0.19,-0.3,-38.55
2020-03-13 00:00:00+00:00,7939.0,4346.0,-45.26,-3.19,-48.45,-41.74
2020-03-15 00:00:00+00:00,5571.5,5160.5,-7.38,-1.98,-9.36,-43.72
2020-03-17 00:00:00+00:00,5338.5,5036.5,-5.66,-4.38,-10.04,-48.1
2020-03-22 00:00:00+00:00,6204.0,6192.0,-0.19,1.06,0.87,-47.04
2020-03-23 00:00:00+00:00,6192.0,5820.5,-6.0,-2.73,-8.73,-49.77
2020-03-26 00:00:00+00:00,6765.0,6685.5,-1.18,-1.33,-2.51,-51.1
2020-03-28 00:00:00+00:00,6760.5,6363.5,-5.87,-1.3,-7.17,-52.4
