timestamp,open,close,xbtusd_daily_change,ADAU18_daily_btc,ADAU18_daily_usd,ADAU18_cumulative_btc
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,-0.53,-1.12,-0.53
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,-4.93,-14.8,-5.46
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-4.61,-4.85,-10.07
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-4.82,-7.66,-14.89
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-2.21,-6.85,-17.1
2018-07-02 00:00:00+00:00,6383.5,6346.0,-0.59,4.83,4.24,-12.27
2018-07-04 00:00:00+00:00,6610.0,6505.5,-1.58,-2.72,-4.3,-14.99
2018-07-06 00:00:00+00:00,6582.0,6526.5,-0.84,-2.97,-3.81,-17.96
2018-07-09 00:00:00+00:00,6756.5,6701.0,-0.82,-1.73,-2.55,-19.69
2018-07-10 00:00:00+00:00,6701.0,6668.0,-0.49,-2.43,-2.92,-22.12
2018-07-11 00:00:00+00:00,6668.0,6304.0,-5.46,-3.83,-9.29,-25.95
2018-07-13 00:00:00+00:00,6371.0,6246.5,-1.95,-1.5,-3.45,-27.45
2018-07-14 00:00:00+00:00,6246.5,6213.0,-0.54,6.94,6.4,-20.51
2018-07-21 00:00:00+00:00,7466.5,7333.0,-1.79,-10.06,-11.85,-30.57
2018-07-23 00:00:00+00:00,7401.0,7391.5,-0.13,3.89,3.76,-26.68
2018-07-26 00:00:00+00:00,8391.0,8177.0,-2.55,1.67,-0.88,-25.01
2018-07-27 00:00:00+00:00,8177.0,7922.0,-3.12,-2.46,-5.58,-27.47
2018-07-30 00:00:00+00:00,8229.5,8219.0,-0.13,0.24,0.11,-27.23
2018-07-31 00:00:00+00:00,8219.0,8174.5,-0.54,-6.66,-7.2,-33.89
2018-08-01 00:00:00+00:00,8174.5,7727.0,-5.47,-3.93,-9.4,-37.82
2018-08-02 00:00:00+00:00,7727.0,7604.5,-1.59,1.72,0.13,-36.1
2018-08-03 00:00:00+00:00,7604.5,7539.5,-0.85,-6.3,-7.15,-42.4
2018-08-04 00:00:00+00:00,7539.5,7411.0,-1.7,1.19,-0.51,-41.21
2018-08-05 00:00:00+00:00,7411.0,7005.5,-5.47,2.62,-2.85,-38.59
2018-08-07 00:00:00+00:00,7019.5,6931.5,-1.25,-0.16,-1.41,-38.75
2018-08-08 00:00:00+00:00,6931.5,6711.5,-3.17,-1.06,-4.23,-39.81
2018-08-09 00:00:00+00:00,6711.5,6274.0,-6.52,-3.27,-9.79,-43.08
2018-08-11 00:00:00+00:00,6536.0,6138.0,-6.09,-2.31,-8.4,-45.39
2018-08-14 00:00:00+00:00,6308.5,6245.5,-1.0,-10.28,-11.28,-55.67
2018-08-15 00:00:00+00:00,6245.5,6193.5,-0.83,-6.7,-7.53,-62.37
2018-08-19 00:00:00+00:00,6578.5,6394.0,-2.8,-8.39,-11.19,-70.76
2018-08-21 00:00:00+00:00,6487.0,6253.5,-3.6,-8.17,-11.77,-78.93
2018-08-23 00:00:00+00:00,6467.0,6352.0,-1.78,-4.81,-6.59,-83.74
2018-08-27 00:00:00+00:00,6727.5,6701.5,-0.39,-0.85,-1.24,-84.59
2018-08-30 00:00:00+00:00,7076.5,7032.5,-0.62,0.46,-0.16,-84.13
2018-08-31 00:00:00+00:00,7032.5,6977.0,-0.79,-3.74,-4.53,-87.87
2018-09-04 00:00:00+00:00,7295.0,7259.5,-0.49,-1.1,-1.59,-88.97
2018-09-06 00:00:00+00:00,7355.0,6689.0,-9.06,-12.12,-21.18,-101.09
2018-09-07 00:00:00+00:00,6689.0,6487.0,-3.02,6.5,3.48,-94.59
2018-09-08 00:00:00+00:00,6487.0,6398.0,-1.37,-4.71,-6.08,-99.3
2018-09-09 00:00:00+00:00,6398.0,6180.5,-3.4,-3.17,-6.57,-102.47
2018-09-12 00:00:00+00:00,6300.0,6278.5,-0.34,-4.71,-5.05,-107.18
2018-09-15 00:00:00+00:00,6487.5,6478.0,-0.15,-2.15,-2.3,-109.33
2018-09-17 00:00:00+00:00,6515.5,6493.0,-0.35,1.78,1.43,-107.55
2018-09-18 00:00:00+00:00,6493.0,6247.0,-3.79,-6.46,-10.25,-114.01
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,-4.64,-5.2,-118.65
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,7.5,7.41,-111.15
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-6.68,-8.54,-117.83
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,0.48,-1.79,-117.35
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,-4.88,-5.86,-122.23
