timestamp,open,close,xbtusd_daily_change,ADAZ18_daily_btc,ADAZ18_daily_usd,ADAZ18_cumulative_btc
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,-4.87,-5.43,-4.87
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,9.07,8.98,4.2
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-8.32,-10.18,-4.12
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,0.39,-1.88,-3.73
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,-1.65,-2.63,-5.38
2018-09-30 00:00:00+00:00,6620.0,6581.5,-0.58,0.91,0.33,-4.47
2018-10-02 00:00:00+00:00,6598.5,6571.0,-0.42,-1.13,-1.55,-5.6
2018-10-03 00:00:00+00:00,6571.0,6502.5,-1.04,-1.83,-2.87,-7.43
2018-10-04 00:00:00+00:00,6502.5,6465.0,-0.58,-2.25,-2.83,-9.68
2018-10-07 00:00:00+00:00,6582.0,6552.0,-0.46,-1.79,-2.25,-11.47
2018-10-10 00:00:00+00:00,6607.5,6591.0,-0.25,-0.15,-0.4,-11.62
2018-10-11 00:00:00+00:00,6591.0,6530.0,-0.93,-1.05,-1.98,-12.67
2018-10-12 00:00:00+00:00,6530.0,6154.5,-5.75,-14.51,-20.26,-27.18
2018-10-15 00:00:00+00:00,6193.5,6181.5,-0.19,-4.56,-4.75,-31.74
2018-10-18 00:00:00+00:00,6456.0,6438.5,-0.27,2.65,2.38,-29.09
2018-10-19 00:00:00+00:00,6438.5,6394.5,-0.68,-2.0,-2.68,-31.09
2018-10-20 00:00:00+00:00,6394.5,6384.0,-0.16,1.11,0.95,-29.98
2018-10-23 00:00:00+00:00,6413.0,6412.5,-0.01,0.51,0.5,-29.47
2018-10-24 00:00:00+00:00,6412.5,6395.0,-0.27,-1.59,-1.86,-31.06
2018-10-26 00:00:00+00:00,6412.5,6393.5,-0.3,-0.26,-0.56,-31.32
2018-10-30 00:00:00+00:00,6408.0,6266.5,-2.21,-2.6,-4.81,-33.92
2018-11-04 00:00:00+00:00,6346.0,6332.5,-0.21,-1.03,-1.24,-34.95
2018-11-06 00:00:00+00:00,6427.5,6404.0,-0.37,-0.57,-0.94,-35.52
2018-11-09 00:00:00+00:00,6510.5,6414.0,-1.48,-1.62,-3.1,-37.14
2018-11-10 00:00:00+00:00,6414.0,6338.5,-1.18,-3.37,-4.55,-40.51
2018-11-13 00:00:00+00:00,6361.0,6337.5,-0.37,-0.16,-0.53,-40.67
2018-11-14 00:00:00+00:00,6337.5,6249.0,-1.4,-4.1,-5.5,-44.77
2018-11-15 00:00:00+00:00,6249.0,5586.0,-10.61,-3.93,-14.54,-48.7
2018-11-16 00:00:00+00:00,5586.0,5581.0,-0.09,-0.18,-0.27,-48.88
2018-11-17 00:00:00+00:00,5581.0,5511.0,-1.25,-2.85,-4.1,-51.73
2018-11-18 00:00:00+00:00,5511.0,5501.5,-0.17,-0.09,-0.26,-51.82
2018-11-20 00:00:00+00:00,5556.0,4743.0,-14.63,-3.78,-18.41,-55.6
2018-11-21 00:00:00+00:00,4743.0,4348.5,-8.32,-5.99,-14.31,-61.59
2018-11-23 00:00:00+00:00,4537.0,4266.5,-5.96,-2.87,-8.83,-64.46
2018-11-25 00:00:00+00:00,4283.0,3768.5,-12.01,-1.2,-13.21,-65.66
2018-11-27 00:00:00+00:00,3930.5,3724.5,-5.24,0.21,-5.03,-65.45
2018-12-01 00:00:00+00:00,4242.0,3972.0,-6.36,-1.12,-7.48,-66.57
2018-12-03 00:00:00+00:00,4136.5,4096.5,-0.97,1.1,0.13,-65.47
2018-12-04 00:00:00+00:00,4096.5,3829.5,-6.52,-1.29,-7.81,-66.76
2018-12-06 00:00:00+00:00,3902.0,3695.5,-5.29,-4.71,-10.0,-71.47
2018-12-07 00:00:00+00:00,3695.5,3430.5,-7.17,-5.05,-12.22,-76.52
2018-12-08 00:00:00+00:00,3430.5,3369.0,-1.79,-0.58,-2.37,-77.1
2018-12-11 00:00:00+00:00,3526.5,3406.0,-3.42,-1.37,-4.79,-78.47
2018-12-12 00:00:00+00:00,3406.0,3344.0,-1.82,-1.27,-3.09,-79.74
2018-12-14 00:00:00+00:00,3431.5,3257.5,-5.07,-0.34,-5.41,-80.08
2018-12-15 00:00:00+00:00,3257.5,3193.0,-1.98,-0.68,-2.66,-80.76
2018-12-16 00:00:00+00:00,3193.0,3183.0,-0.31,0.23,-0.08,-80.53
2018-12-22 00:00:00+00:00,4069.0,3841.0,-5.6,10.84,5.24,-69.69
2018-12-24 00:00:00+00:00,3981.0,3944.0,-0.93,6.85,5.92,-62.84
2018-12-26 00:00:00+00:00,4033.5,3777.0,-6.36,-2.66,-9.02,-65.5
2018-12-28 00:00:00+00:00,3806.5,3588.0,-5.74,-5.86,-11.6,-71.36
