timestamp,open,close,xbtusd_daily_change,BCHH20_daily_btc,BCHH20_daily_usd,BCHH20_cumulative_btc
2019-12-15 00:00:00+00:00,7242.0,7060.5,-2.51,0.07,-2.44,0.07
2019-12-17 00:00:00+00:00,7107.5,6873.0,-3.3,-2.27,-5.57,-2.2
2019-12-18 00:00:00+00:00,6873.0,6611.5,-3.8,-6.22,-10.02,-8.42
2019-12-20 00:00:00+00:00,7288.0,7148.5,-1.91,0.46,-1.45,-7.96
2019-12-22 00:00:00+00:00,7186.5,7140.0,-0.65,-0.19,-0.84,-8.15
2019-12-24 00:00:00+00:00,7509.5,7312.0,-2.63,-0.92,-3.55,-9.07
2019-12-25 00:00:00+00:00,7312.0,7249.0,-0.86,0.08,-0.78,-8.99
2019-12-26 00:00:00+00:00,7249.0,7194.5,-0.75,-1.12,-1.87,-10.11
2019-12-27 00:00:00+00:00,7194.5,7190.0,-0.06,1.33,1.27,-8.78
2019-12-31 00:00:00+00:00,7381.5,7218.5,-2.21,-0.03,-2.24,-8.81
2020-01-01 00:00:00+00:00,7218.5,7163.0,-0.77,-1.15,-1.92,-9.96
2020-01-03 00:00:00+00:00,7179.0,6942.0,-3.3,-1.62,-4.92,-11.58
2020-01-09 00:00:00+00:00,8155.5,8046.0,-1.34,0.07,-1.27,-11.51
2020-01-10 00:00:00+00:00,8046.0,7810.5,-2.93,2.05,-0.88,-9.46
2020-01-12 00:00:00+00:00,8204.0,8023.5,-2.2,-1.9,-4.1,-11.36
2020-01-14 00:00:00+00:00,8187.0,8104.5,-1.01,-0.64,-1.65,-12.0
2020-01-16 00:00:00+00:00,8835.5,8816.5,-0.22,-1.85,-2.07,-13.85
2020-01-17 00:00:00+00:00,8816.5,8719.0,-1.11,-2.61,-3.72,-16.46
2020-01-20 00:00:00+00:00,8916.5,8700.5,-2.42,2.77,0.35,-13.69
2020-01-21 00:00:00+00:00,8700.5,8632.5,-0.78,1.7,0.92,-11.99
2020-01-23 00:00:00+00:00,8727.5,8664.5,-0.72,2.26,1.54,-9.73
2020-01-24 00:00:00+00:00,8664.5,8392.0,-3.15,-3.81,-6.96,-13.54
2020-01-26 00:00:00+00:00,8425.5,8326.0,-1.18,-1.22,-2.4,-14.76
2020-01-30 00:00:00+00:00,9400.0,9294.5,-1.12,1.09,-0.03,-13.67
2020-02-01 00:00:00+00:00,9510.0,9339.5,-1.79,-3.21,-5.0,-16.88
2020-02-03 00:00:00+00:00,9382.0,9325.0,-0.61,0.07,-0.54,-16.81
2020-02-04 00:00:00+00:00,9325.0,9282.0,-0.46,2.31,1.85,-14.5
2020-02-05 00:00:00+00:00,9282.0,9166.0,-1.25,0.31,-0.94,-14.19
2020-02-11 00:00:00+00:00,10172.5,9862.5,-3.05,4.23,1.18,-9.96
2020-02-14 00:00:00+00:00,10363.0,10241.0,-1.18,2.15,0.97,-7.81
2020-02-16 00:00:00+00:00,10369.5,9907.0,-4.46,-8.03,-12.49,-15.84
2020-02-18 00:00:00+00:00,9934.0,9715.0,-2.2,1.79,-0.41,-14.05
2020-02-20 00:00:00+00:00,10195.5,9596.5,-5.88,-4.56,-10.44,-18.61
2020-02-23 00:00:00+00:00,9694.0,9675.5,-0.19,-0.95,-1.14,-19.56
2020-02-25 00:00:00+00:00,9966.0,9660.5,-3.07,-3.21,-6.28,-22.77
2020-02-26 00:00:00+00:00,9660.5,9317.0,-3.56,-3.6,-7.16,-26.37
2020-02-27 00:00:00+00:00,9317.0,8780.0,-5.76,-4.36,-10.12,-30.73
2020-02-29 00:00:00+00:00,8820.0,8717.5,-1.16,-1.25,-2.41,-31.98
2020-03-01 00:00:00+00:00,8717.5,8531.5,-2.13,-0.64,-2.77,-32.62
2020-03-04 00:00:00+00:00,8918.5,8757.0,-1.81,-1.26,-3.07,-33.88
2020-03-05 00:00:00+00:00,8757.0,8756.5,-0.01,-3.07,-3.08,-36.95
2020-03-08 00:00:00+00:00,9158.5,8900.0,-2.82,-3.17,-5.99,-40.12
2020-03-09 00:00:00+00:00,8900.0,8038.5,-9.68,-9.33,-19.01,-49.45
2020-03-10 00:00:00+00:00,8038.5,7928.0,-1.37,1.66,0.29,-47.79
2020-03-11 00:00:00+00:00,7928.0,7889.5,-0.49,-0.09,-0.58,-47.88
2020-03-13 00:00:00+00:00,7939.0,4346.0,-45.26,-11.38,-56.64,-59.26
2020-03-15 00:00:00+00:00,5571.5,5160.5,-7.38,1.33,-6.05,-57.93
2020-03-17 00:00:00+00:00,5338.5,5036.5,-5.66,2.79,-2.87,-55.14
2020-03-22 00:00:00+00:00,6204.0,6192.0,-0.19,3.08,2.89,-52.06
2020-03-23 00:00:00+00:00,6192.0,5820.5,-6.0,-2.45,-8.45,-54.51
2020-03-26 00:00:00+00:00,6765.0,6685.5,-1.18,-1.66,-2.84,-56.17
2020-03-28 00:00:00+00:00,6760.5,6363.5,-5.87,0.47,-5.4,-55.7
