timestamp,open,close,xbtusd_daily_change,BCHM20_daily_btc,BCHM20_daily_usd,BCHM20_cumulative_btc
2020-03-15 00:00:00+00:00,5571.5,5160.5,-7.38,1.55,-5.83,1.55
2020-03-17 00:00:00+00:00,5338.5,5036.5,-5.66,2.5,-3.16,4.05
2020-03-22 00:00:00+00:00,6204.0,6192.0,-0.19,3.91,3.72,7.96
2020-03-23 00:00:00+00:00,6192.0,5820.5,-6.0,-3.02,-9.02,4.94
2020-03-26 00:00:00+00:00,6765.0,6685.5,-1.18,-2.62,-3.8,2.32
2020-03-28 00:00:00+00:00,6760.5,6363.5,-5.87,-0.87,-6.74,1.45
2020-03-29 00:00:00+00:00,6363.5,6250.0,-1.78,2.12,0.34,3.57
2020-03-30 00:00:00+00:00,6250.0,5869.0,-6.1,2.32,-3.78,5.89
2020-04-04 00:00:00+00:00,6795.5,6738.0,-0.85,3.23,2.38,9.12
2020-04-06 00:00:00+00:00,6875.0,6775.5,-1.45,-2.06,-3.51,7.06
2020-04-08 00:00:00+00:00,7338.0,7193.0,-1.98,-0.57,-2.55,6.49
