timestamp,open,close,xbtusd_daily_change,BCHU18_daily_btc,BCHU18_daily_usd,BCHU18_cumulative_btc
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,-1.12,-1.71,-1.12
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,-4.61,-14.48,-5.73
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-2.08,-2.32,-7.81
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-5.17,-8.01,-12.98
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-4.41,-9.05,-17.39
2018-07-02 00:00:00+00:00,6383.5,6346.0,-0.59,-1.35,-1.94,-18.74
2018-07-04 00:00:00+00:00,6610.0,6505.5,-1.58,-2.05,-3.63,-20.79
2018-07-06 00:00:00+00:00,6582.0,6526.5,-0.84,-2.84,-3.68,-23.63
2018-07-09 00:00:00+00:00,6756.5,6701.0,-0.82,-2.62,-3.44,-26.25
2018-07-10 00:00:00+00:00,6701.0,6668.0,-0.49,-2.09,-2.58,-28.34
2018-07-11 00:00:00+00:00,6668.0,6304.0,-5.46,-0.98,-6.44,-29.32
2018-07-13 00:00:00+00:00,6371.0,6246.5,-1.95,-0.7,-2.65,-30.02
2018-07-14 00:00:00+00:00,6246.5,6213.0,-0.54,0.97,0.43,-29.05
2018-07-21 00:00:00+00:00,7466.5,7333.0,-1.79,-5.65,-7.44,-34.7
2018-07-23 00:00:00+00:00,7401.0,7391.5,-0.13,-0.64,-0.77,-35.34
2018-07-26 00:00:00+00:00,8391.0,8177.0,-2.55,-1.8,-4.35,-37.14
2018-07-27 00:00:00+00:00,8177.0,7922.0,-3.12,-0.48,-3.6,-37.62
2018-07-30 00:00:00+00:00,8229.5,8219.0,-0.13,1.95,1.82,-35.67
2018-07-31 00:00:00+00:00,8219.0,8174.5,-0.54,-2.68,-3.22,-38.35
2018-08-01 00:00:00+00:00,8174.5,7727.0,-5.47,0.69,-4.78,-37.66
2018-08-02 00:00:00+00:00,7727.0,7604.5,-1.59,0.0,-1.59,-37.66
2018-08-03 00:00:00+00:00,7604.5,7539.5,-0.85,-3.42,-4.27,-41.08
2018-08-04 00:00:00+00:00,7539.5,7411.0,-1.7,1.21,-0.49,-39.87
2018-08-05 00:00:00+00:00,7411.0,7005.5,-5.47,1.5,-3.97,-38.37
2018-08-07 00:00:00+00:00,7019.5,6931.5,-1.25,-1.17,-2.42,-39.54
2018-08-08 00:00:00+00:00,6931.5,6711.5,-3.17,-1.68,-4.85,-41.22
2018-08-09 00:00:00+00:00,6711.5,6274.0,-6.52,-5.42,-11.94,-46.64
2018-08-11 00:00:00+00:00,6536.0,6138.0,-6.09,-1.38,-7.47,-48.02
2018-08-14 00:00:00+00:00,6308.5,6245.5,-1.0,-6.17,-7.17,-54.19
2018-08-15 00:00:00+00:00,6245.5,6193.5,-0.83,-2.46,-3.29,-56.65
2018-08-19 00:00:00+00:00,6578.5,6394.0,-2.8,-5.12,-7.92,-61.77
2018-08-21 00:00:00+00:00,6487.0,6253.5,-3.6,-6.98,-10.58,-68.75
2018-08-23 00:00:00+00:00,6467.0,6352.0,-1.78,-1.92,-3.7,-70.67
2018-08-27 00:00:00+00:00,6727.5,6701.5,-0.39,-2.6,-2.99,-73.27
2018-08-30 00:00:00+00:00,7076.5,7032.5,-0.62,-1.48,-2.1,-74.75
2018-08-31 00:00:00+00:00,7032.5,6977.0,-0.79,-2.88,-3.67,-77.63
2018-09-04 00:00:00+00:00,7295.0,7259.5,-0.49,-2.9,-3.39,-80.53
2018-09-06 00:00:00+00:00,7355.0,6689.0,-9.06,-8.59,-17.65,-89.12
2018-09-07 00:00:00+00:00,6689.0,6487.0,-3.02,1.78,-1.24,-87.34
2018-09-08 00:00:00+00:00,6487.0,6398.0,-1.37,-3.0,-4.37,-90.34
2018-09-09 00:00:00+00:00,6398.0,6180.5,-3.4,-1.16,-4.56,-91.5
2018-09-12 00:00:00+00:00,6300.0,6278.5,-0.34,-5.68,-6.02,-97.18
2018-09-15 00:00:00+00:00,6487.5,6478.0,-0.15,-3.22,-3.37,-100.4
2018-09-17 00:00:00+00:00,6515.5,6493.0,-0.35,-0.29,-0.64,-100.69
2018-09-18 00:00:00+00:00,6493.0,6247.0,-3.79,-4.03,-7.82,-104.72
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,-3.46,-4.02,-108.18
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,0.83,0.74,-107.35
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-3.96,-5.82,-111.31
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,-1.14,-3.41,-112.45
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,-4.98,-5.96,-117.43
