timestamp,open,close,xbtusd_daily_change,EOSZ18_daily_btc,EOSZ18_daily_usd,EOSZ18_cumulative_btc
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,-3.37,-3.93,-3.37
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,1.76,1.67,-1.61
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-5.0,-6.86,-6.61
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,-3.06,-5.33,-9.67
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,-0.73,-1.71,-10.4
2018-09-30 00:00:00+00:00,6620.0,6581.5,-0.58,0.53,-0.05,-9.87
2018-10-02 00:00:00+00:00,6598.5,6571.0,-0.42,0.41,-0.01,-9.46
2018-10-03 00:00:00+00:00,6571.0,6502.5,-1.04,-1.19,-2.23,-10.65
2018-10-04 00:00:00+00:00,6502.5,6465.0,-0.58,0.61,0.03,-10.04
2018-10-07 00:00:00+00:00,6582.0,6552.0,-0.46,-1.05,-1.51,-11.09
2018-10-10 00:00:00+00:00,6607.5,6591.0,-0.25,-0.22,-0.47,-11.31
2018-10-11 00:00:00+00:00,6591.0,6530.0,-0.93,0.38,-0.55,-10.93
2018-10-12 00:00:00+00:00,6530.0,6154.5,-5.75,-10.66,-16.41,-21.59
2018-10-15 00:00:00+00:00,6193.5,6181.5,-0.19,-1.63,-1.82,-23.22
2018-10-18 00:00:00+00:00,6456.0,6438.5,-0.27,0.33,0.06,-22.89
2018-10-19 00:00:00+00:00,6438.5,6394.5,-0.68,-0.42,-1.1,-23.31
2018-10-20 00:00:00+00:00,6394.5,6384.0,-0.16,0.49,0.33,-22.82
2018-10-23 00:00:00+00:00,6413.0,6412.5,-0.01,-0.21,-0.22,-23.03
2018-10-24 00:00:00+00:00,6412.5,6395.0,-0.27,0.18,-0.09,-22.85
2018-10-26 00:00:00+00:00,6412.5,6393.5,-0.3,0.45,0.15,-22.4
2018-10-30 00:00:00+00:00,6408.0,6266.5,-2.21,-3.14,-5.35,-25.54
2018-11-04 00:00:00+00:00,6346.0,6332.5,-0.21,-0.77,-0.98,-26.31
2018-11-06 00:00:00+00:00,6427.5,6404.0,-0.37,-0.43,-0.8,-26.74
2018-11-09 00:00:00+00:00,6510.5,6414.0,-1.48,-1.0,-2.48,-27.74
2018-11-10 00:00:00+00:00,6414.0,6338.5,-1.18,-1.92,-3.1,-29.66
2018-11-13 00:00:00+00:00,6361.0,6337.5,-0.37,-0.45,-0.82,-30.11
2018-11-14 00:00:00+00:00,6337.5,6249.0,-1.4,-4.32,-5.72,-34.43
2018-11-15 00:00:00+00:00,6249.0,5586.0,-10.61,-3.68,-14.29,-38.11
2018-11-16 00:00:00+00:00,5586.0,5581.0,-0.09,2.34,2.25,-35.77
2018-11-17 00:00:00+00:00,5581.0,5511.0,-1.25,-1.26,-2.51,-37.03
2018-11-18 00:00:00+00:00,5511.0,5501.5,-0.17,0.97,0.8,-36.06
2018-11-20 00:00:00+00:00,5556.0,4743.0,-14.63,3.43,-11.2,-32.63
2018-11-21 00:00:00+00:00,4743.0,4348.5,-8.32,0.18,-8.14,-32.45
2018-11-23 00:00:00+00:00,4537.0,4266.5,-5.96,-2.35,-8.31,-34.8
2018-11-25 00:00:00+00:00,4283.0,3768.5,-12.01,1.41,-10.6,-33.39
2018-11-27 00:00:00+00:00,3930.5,3724.5,-5.24,1.16,-4.08,-32.23
2018-12-01 00:00:00+00:00,4242.0,3972.0,-6.36,2.16,-4.2,-30.07
2018-12-03 00:00:00+00:00,4136.5,4096.5,-0.97,-1.91,-2.88,-31.98
2018-12-04 00:00:00+00:00,4096.5,3829.5,-6.52,-3.0,-9.52,-34.98
2018-12-06 00:00:00+00:00,3902.0,3695.5,-5.29,-5.82,-11.11,-40.8
2018-12-07 00:00:00+00:00,3695.5,3430.5,-7.17,-9.99,-17.16,-50.79
2018-12-08 00:00:00+00:00,3430.5,3369.0,-1.79,-4.17,-5.96,-54.96
2018-12-11 00:00:00+00:00,3526.5,3406.0,-3.42,-1.85,-5.27,-56.81
2018-12-12 00:00:00+00:00,3406.0,3344.0,-1.82,-2.81,-4.63,-59.62
2018-12-14 00:00:00+00:00,3431.5,3257.5,-5.07,-2.28,-7.35,-61.9
2018-12-15 00:00:00+00:00,3257.5,3193.0,-1.98,2.57,0.59,-59.33
2018-12-16 00:00:00+00:00,3193.0,3183.0,-0.31,3.66,3.35,-55.67
2018-12-22 00:00:00+00:00,4069.0,3841.0,-5.6,1.35,-4.25,-54.32
2018-12-24 00:00:00+00:00,3981.0,3944.0,-0.93,8.09,7.16,-46.23
2018-12-26 00:00:00+00:00,4033.5,3777.0,-6.36,-3.41,-9.77,-49.64
2018-12-28 00:00:00+00:00,3806.5,3588.0,-5.74,-5.64,-11.38,-55.28
