timestamp,open,close,xbtusd_daily_change,ETHM18_daily_btc,ETHM18_daily_usd,ETHM18_cumulative_btc
2018-03-30 00:00:00+00:00,7935.0,7082.0,-10.75,0.36,-10.39,0.36
2018-03-31 00:00:00+00:00,7082.0,6820.0,-3.7,3.54,-0.16,3.9
2018-04-02 00:00:00+00:00,6920.5,6817.0,-1.5,-2.32,-3.82,1.58
2018-04-05 00:00:00+00:00,7408.5,6779.0,-8.5,-1.28,-9.78,0.3
2018-04-06 00:00:00+00:00,6779.0,6769.5,-0.14,0.85,0.71,1.15
2018-04-07 00:00:00+00:00,6769.5,6612.0,-2.33,-1.02,-3.35,0.13
2018-04-10 00:00:00+00:00,7014.0,6763.0,-3.58,4.51,0.93,4.64
2018-04-14 00:00:00+00:00,7904.5,7887.5,-0.22,0.16,-0.06,4.8
2018-04-17 00:00:00+00:00,8346.5,8047.0,-3.59,-0.59,-4.18,4.21
2018-04-18 00:00:00+00:00,8047.0,7889.5,-1.96,1.1,-0.86,5.31
2018-04-23 00:00:00+00:00,8923.5,8800.0,-1.38,3.94,2.56,9.25
2018-04-26 00:00:00+00:00,9675.0,8846.5,-8.56,-4.49,-13.05,4.76
2018-04-28 00:00:00+00:00,9288.0,8928.0,-3.88,0.3,-3.58,5.06
2018-05-01 00:00:00+00:00,9400.5,9250.0,-1.6,-1.34,-2.94,3.72
2018-05-02 00:00:00+00:00,9250.0,9066.0,-1.99,1.86,-0.13,5.58
2018-05-05 00:00:00+00:00,9741.5,9683.0,-0.6,1.44,0.84,7.02
2018-05-07 00:00:00+00:00,9828.5,9600.5,-2.32,-2.13,-4.45,4.89
2018-05-08 00:00:00+00:00,9600.5,9359.5,-2.51,-1.69,-4.2,3.2
2018-05-09 00:00:00+00:00,9359.5,9190.5,-1.81,0.79,-1.02,3.99
2018-05-11 00:00:00+00:00,9305.5,9027.5,-2.99,-1.79,-4.78,2.2
2018-05-12 00:00:00+00:00,9027.5,8413.0,-6.81,1.05,-5.76,3.25
2018-05-15 00:00:00+00:00,8693.5,8678.0,-0.18,-0.23,-0.41,3.02
2018-05-16 00:00:00+00:00,8678.0,8476.5,-2.32,-1.6,-3.92,1.42
2018-05-17 00:00:00+00:00,8476.5,8334.5,-1.68,1.81,0.13,3.23
2018-05-18 00:00:00+00:00,8334.5,8058.5,-3.31,-2.41,-5.72,0.82
2018-05-20 00:00:00+00:00,8233.0,8230.0,-0.04,-0.36,-0.4,0.46
2018-05-22 00:00:00+00:00,8521.5,8397.0,-1.46,-1.36,-2.82,-0.9
2018-05-23 00:00:00+00:00,8397.0,7989.0,-4.86,-3.78,-8.64,-4.68
2018-05-24 00:00:00+00:00,7989.0,7506.0,-6.05,-4.79,-10.84,-9.47
2018-05-26 00:00:00+00:00,7568.0,7464.5,-1.37,-1.8,-3.17,-11.27
2018-05-27 00:00:00+00:00,7464.5,7323.0,-1.9,1.47,-0.43,-9.8
2018-05-29 00:00:00+00:00,7336.5,7111.0,-3.07,-6.93,-10.0,-16.73
2018-05-31 00:00:00+00:00,7469.0,7372.0,-1.3,-0.16,-1.46,-16.89
2018-06-05 00:00:00+00:00,7709.0,7492.0,-2.81,-1.46,-4.27,-18.35
2018-06-09 00:00:00+00:00,7689.0,7625.0,-0.83,-0.62,-1.45,-18.97
2018-06-10 00:00:00+00:00,7625.0,7492.0,-1.74,0.58,-1.16,-18.39
2018-06-11 00:00:00+00:00,7492.0,6767.0,-9.68,-2.17,-11.85,-20.56
2018-06-13 00:00:00+00:00,6870.5,6553.5,-4.61,-2.14,-6.75,-22.7
2018-06-14 00:00:00+00:00,6553.5,6296.5,-3.92,-0.08,-4.0,-22.78
2018-06-16 00:00:00+00:00,6631.0,6395.0,-3.56,-2.67,-6.23,-25.45
2018-06-18 00:00:00+00:00,6488.5,6443.0,-0.7,0.95,0.25,-24.5
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,-0.93,-1.52,-25.43
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,-2.67,-12.54,-28.1
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-3.56,-3.8,-31.66
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-4.01,-6.85,-35.67
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-0.22,-4.86,-35.89
