timestamp,open,close,xbtusd_daily_change,LTCH19_daily_btc,LTCH19_daily_usd,LTCH19_cumulative_btc
2018-12-22 00:00:00+00:00,4069.0,3841.0,-5.6,0.26,-5.34,0.26
2018-12-24 00:00:00+00:00,3981.0,3944.0,-0.93,5.75,4.82,6.01
2018-12-26 00:00:00+00:00,4033.5,3777.0,-6.36,0.38,-5.98,6.39
2018-12-28 00:00:00+00:00,3806.5,3588.0,-5.74,-3.18,-8.92,3.21
2018-12-30 00:00:00+00:00,3889.5,3712.0,-4.56,-0.98,-5.54,2.23
2019-01-01 00:00:00+00:00,3830.5,3693.0,-3.59,-2.57,-6.16,-0.34
2019-01-04 00:00:00+00:00,3888.0,3784.0,-2.67,-1.9,-4.57,-2.24
2019-01-06 00:00:00+00:00,3817.0,3794.5,-0.59,6.95,6.36,4.71
2019-01-08 00:00:00+00:00,4039.0,4005.0,-0.84,-1.37,-2.21,3.34
2019-01-09 00:00:00+00:00,4005.0,3995.5,-0.24,2.25,2.01,5.59
2019-01-11 00:00:00+00:00,4001.0,3622.0,-9.47,-5.17,-14.64,0.42
2019-01-13 00:00:00+00:00,3631.5,3613.0,-0.51,0.35,-0.16,0.77
2019-01-14 00:00:00+00:00,3613.0,3513.0,-2.77,-3.36,-6.13,-2.59
2019-01-16 00:00:00+00:00,3663.0,3574.5,-2.42,-1.51,-3.93,-4.1
2019-01-19 00:00:00+00:00,3637.0,3606.0,-0.85,-1.4,-2.25,-5.5
2019-01-21 00:00:00+00:00,3681.5,3535.0,-3.98,-1.38,-5.36,-6.88
2019-01-22 00:00:00+00:00,3535.0,3529.5,-0.16,0.82,0.66,-6.06
2019-01-24 00:00:00+00:00,3578.0,3551.0,-0.75,0.69,-0.06,-5.37
2019-01-26 00:00:00+00:00,3568.0,3560.5,-0.21,0.78,0.57,-4.59
2019-01-27 00:00:00+00:00,3560.5,3554.5,-0.17,0.11,-0.06,-4.48
2019-01-28 00:00:00+00:00,3554.5,3527.5,-0.76,-1.1,-1.86,-5.58
2019-01-29 00:00:00+00:00,3527.5,3428.0,-2.82,-1.23,-4.05,-6.81
2019-01-30 00:00:00+00:00,3428.0,3391.0,-1.08,0.11,-0.97,-6.7
2019-02-01 00:00:00+00:00,3434.0,3413.5,-0.6,-0.11,-0.71,-6.81
2019-02-04 00:00:00+00:00,3464.0,3414.0,-1.44,-1.66,-3.1,-8.47
2019-02-05 00:00:00+00:00,3414.0,3406.5,-0.22,1.69,1.47,-6.78
2019-02-07 00:00:00+00:00,3428.5,3365.5,-1.84,-1.76,-3.6,-8.54
2019-02-08 00:00:00+00:00,3365.5,3357.0,-0.25,0.84,0.59,-7.7
2019-02-12 00:00:00+00:00,3648.0,3591.0,-1.56,-6.43,-7.99,-14.13
2019-02-13 00:00:00+00:00,3591.0,3587.5,-0.1,2.46,2.36,-11.67
2019-02-14 00:00:00+00:00,3587.5,3577.0,-0.29,-5.14,-5.43,-16.81
2019-02-15 00:00:00+00:00,3577.0,3560.0,-0.48,0.0,-0.48,-16.81
2019-02-22 00:00:00+00:00,3938.5,3897.5,-1.04,-4.46,-5.5,-21.27
2019-02-25 00:00:00+00:00,4111.5,3733.5,-9.19,-7.72,-16.91,-28.99
2019-02-27 00:00:00+00:00,3818.0,3797.0,-0.55,-1.01,-1.56,-30.0
2019-03-01 00:00:00+00:00,3798.0,3788.0,-0.26,0.93,0.67,-29.07
2019-03-04 00:00:00+00:00,3808.0,3785.5,-0.59,-0.64,-1.23,-29.71
2019-03-05 00:00:00+00:00,3785.5,3698.5,-2.3,-1.77,-4.07,-31.48
2019-03-09 00:00:00+00:00,3854.0,3840.0,-0.36,-1.38,-1.74,-32.86
2019-03-11 00:00:00+00:00,3916.0,3897.5,-0.47,-0.62,-1.09,-33.48
2019-03-12 00:00:00+00:00,3897.5,3845.0,-1.35,-2.21,-3.56,-35.69
2019-03-14 00:00:00+00:00,3857.5,3849.5,-0.21,-1.18,-1.39,-36.87
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,-0.53,-1.13,-37.4
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-1.48,-2.98,-38.88
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,2.43,2.39,-36.45
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-1.45,-1.78,-37.9
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,0.0,-1.59,-37.9
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,-1.44,-1.85,-39.34
