timestamp,open,close,xbtusd_daily_change,LTCM19_daily_btc,LTCM19_daily_usd,LTCM19_cumulative_btc
2019-03-18 00:00:00+00:00,3986.0,3962.0,-0.6,-0.52,-1.12,-0.52
2019-03-22 00:00:00+00:00,4029.5,3969.0,-1.5,-1.53,-3.03,-2.05
2019-03-24 00:00:00+00:00,3981.0,3979.5,-0.04,2.41,2.37,0.36
2019-03-25 00:00:00+00:00,3979.5,3966.5,-0.33,-1.04,-1.37,-0.68
2019-03-26 00:00:00+00:00,3966.5,3903.5,-1.59,0.26,-1.33,-0.42
2019-03-29 00:00:00+00:00,4025.5,4009.0,-0.41,-1.17,-1.58,-1.59
2019-04-05 00:00:00+00:00,4979.0,4910.0,-1.39,0.28,-1.11,-1.31
2019-04-10 00:00:00+00:00,5285.5,5184.0,-1.92,-1.49,-3.41,-2.8
2019-04-12 00:00:00+00:00,5321.5,5038.5,-5.32,-7.0,-12.32,-9.8
2019-04-14 00:00:00+00:00,5075.5,5066.0,-0.19,-1.51,-1.7,-11.31
2019-04-16 00:00:00+00:00,5160.0,5024.0,-2.64,-4.53,-7.17,-15.84
2019-04-22 00:00:00+00:00,5320.0,5295.5,-0.46,-6.13,-6.59,-21.97
2019-04-25 00:00:00+00:00,5529.5,5440.0,-1.62,0.0,-1.62,-21.97
2019-04-26 00:00:00+00:00,5440.0,5119.5,-5.89,2.58,-3.31,-19.39
2019-04-29 00:00:00+00:00,5161.5,5153.5,-0.15,-3.97,-4.12,-23.36
2019-04-30 00:00:00+00:00,5153.5,5141.0,-0.24,-1.43,-1.67,-24.79
2019-05-06 00:00:00+00:00,5769.0,5715.5,-0.93,-1.57,-2.5,-26.36
2019-05-07 00:00:00+00:00,5715.5,5684.5,-0.54,0.0,-0.54,-26.36
2019-05-13 00:00:00+00:00,7218.0,6975.5,-3.36,-0.24,-3.6,-26.6
2019-05-17 00:00:00+00:00,8203.5,7884.5,-3.89,-3.22,-7.11,-29.82
2019-05-18 00:00:00+00:00,7884.5,7352.0,-6.75,0.65,-6.1,-29.17
2019-05-19 00:00:00+00:00,7352.0,7258.5,-1.27,-2.26,-3.53,-31.43
2019-05-21 00:00:00+00:00,8206.5,8009.5,-2.4,-1.27,-3.67,-32.7
2019-05-22 00:00:00+00:00,8009.5,7959.0,-0.63,0.26,-0.37,-32.44
2019-05-23 00:00:00+00:00,7959.0,7624.0,-4.21,-0.34,-4.55,-32.78
2019-05-29 00:00:00+00:00,8779.5,8721.0,-0.67,-0.89,-1.56,-33.67
2019-05-30 00:00:00+00:00,8721.0,8665.5,-0.64,0.67,0.03,-33.0
2019-05-31 00:00:00+00:00,8665.5,8274.5,-4.51,-2.53,-7.04,-35.53
2019-06-04 00:00:00+00:00,8738.0,8100.5,-7.3,-1.09,-8.39,-36.62
2019-06-05 00:00:00+00:00,8100.5,7663.0,-5.4,1.9,-3.5,-34.72
2019-06-09 00:00:00+00:00,7996.5,7926.0,-0.88,1.86,0.98,-32.86
2019-06-10 00:00:00+00:00,7926.0,7629.0,-3.75,0.53,-3.22,-32.33
2019-06-12 00:00:00+00:00,8016.0,7917.5,-1.23,6.03,4.8,-26.3
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,4.24,1.44,-22.06
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,1.53,-12.19,-20.53
