timestamp,open,close,xbtusd_daily_change,LTCU19_daily_btc,LTCU19_daily_usd,LTCU19_cumulative_btc
2019-06-19 00:00:00+00:00,9347.5,9085.5,-2.8,4.5,1.7,4.5
2019-06-28 00:00:00+00:00,12930.0,11156.5,-13.72,1.52,-12.2,6.02
2019-06-30 00:00:00+00:00,12374.5,11870.0,-4.08,17.29,13.21,23.31
2019-07-01 00:00:00+00:00,11870.0,10761.0,-9.34,0.26,-9.08,23.57
2019-07-02 00:00:00+00:00,10761.0,10570.5,-1.77,2.82,1.05,26.39
2019-07-05 00:00:00+00:00,11983.5,11143.0,-7.01,5.82,-1.19,32.21
2019-07-06 00:00:00+00:00,11143.0,10991.0,-1.36,0.46,-0.9,32.67
2019-07-11 00:00:00+00:00,12563.5,12090.0,-3.77,-6.3,-10.07,26.37
2019-07-12 00:00:00+00:00,12090.0,11336.5,-6.23,1.72,-4.51,28.09
2019-07-14 00:00:00+00:00,11804.0,11370.5,-3.67,-0.17,-3.84,27.92
2019-07-15 00:00:00+00:00,11370.5,10185.5,-10.42,-1.06,-11.48,26.86
2019-07-17 00:00:00+00:00,10857.0,9417.0,-13.26,0.84,-12.42,27.7
2019-07-20 00:00:00+00:00,10646.5,10523.0,-1.16,-1.79,-2.95,25.91
2019-07-22 00:00:00+00:00,10760.0,10591.5,-1.57,0.37,-1.2,26.28
2019-07-23 00:00:00+00:00,10591.5,10320.5,-2.56,-2.5,-5.06,23.78
2019-07-24 00:00:00+00:00,10320.5,9844.0,-4.62,-0.87,-5.49,22.91
2019-07-25 00:00:00+00:00,9844.0,9773.0,-0.72,6.54,5.82,29.45
2019-07-27 00:00:00+00:00,9871.5,9845.5,-0.26,1.86,1.6,31.31
2019-07-28 00:00:00+00:00,9845.5,9463.5,-3.88,-2.55,-6.43,28.76
2019-07-30 00:00:00+00:00,9530.5,9502.5,-0.29,1.22,0.93,29.98
2019-08-07 00:00:00+00:00,11814.5,11467.0,-2.94,-0.92,-3.86,29.06
2019-08-10 00:00:00+00:00,12020.0,11874.0,-1.21,-6.09,-7.3,22.97
2019-08-11 00:00:00+00:00,11874.0,11280.0,-5.0,7.56,2.56,30.53
2019-08-13 00:00:00+00:00,11531.5,11395.5,-1.18,-3.53,-4.71,27.0
2019-08-14 00:00:00+00:00,11395.5,10858.5,-4.71,3.59,-1.12,30.59
2019-08-15 00:00:00+00:00,10858.5,10025.0,-7.68,-3.73,-11.41,26.86
2019-08-18 00:00:00+00:00,10350.5,10204.0,-1.42,-1.12,-2.54,25.74
2019-08-21 00:00:00+00:00,10925.0,10773.5,-1.39,-1.42,-2.81,24.32
2019-08-22 00:00:00+00:00,10773.5,10129.0,-5.98,3.97,-2.01,28.29
2019-08-23 00:00:00+00:00,10129.0,10104.5,-0.24,0.76,0.52,29.05
2019-08-25 00:00:00+00:00,10401.5,10136.0,-2.55,-0.21,-2.76,28.84
2019-08-28 00:00:00+00:00,10369.0,10176.0,-1.86,0.92,-0.94,29.76
2019-08-29 00:00:00+00:00,10176.0,9701.5,-4.66,-4.28,-8.94,25.48
2019-08-30 00:00:00+00:00,9701.5,9491.5,-2.16,-1.9,-4.06,23.58
2019-09-05 00:00:00+00:00,10630.0,10580.5,-0.47,-2.63,-3.1,20.95
2019-09-07 00:00:00+00:00,10586.0,10310.5,-2.6,1.79,-0.81,22.74
2019-09-09 00:00:00+00:00,10492.5,10402.0,-0.86,3.28,2.42,26.02
2019-09-10 00:00:00+00:00,10402.0,10318.0,-0.81,0.15,-0.66,26.17
2019-09-11 00:00:00+00:00,10318.0,10102.5,-2.09,3.32,1.23,29.49
2019-09-14 00:00:00+00:00,10433.5,10370.0,-0.61,0.3,-0.31,29.79
2019-09-15 00:00:00+00:00,10370.0,10364.0,-0.06,2.87,2.81,32.66
2019-09-16 00:00:00+00:00,10364.0,10314.0,-0.48,-0.51,-0.99,32.15
2019-09-17 00:00:00+00:00,10314.0,10268.0,-0.45,4.13,3.68,36.28
2019-09-18 00:00:00+00:00,10268.0,10184.5,-0.81,2.69,1.88,38.97
2019-09-19 00:00:00+00:00,10184.5,10163.0,-0.21,5.51,5.3,44.48
2019-09-21 00:00:00+00:00,10282.5,10175.5,-1.04,-1.27,-2.31,43.21
2019-09-22 00:00:00+00:00,10175.5,9975.5,-1.97,-0.81,-2.78,42.4
2019-09-24 00:00:00+00:00,10026.0,9686.0,-3.39,-5.06,-8.45,37.34
2019-09-25 00:00:00+00:00,9686.0,8533.5,-11.9,-6.5,-18.4,30.84
2019-09-26 00:00:00+00:00,8533.5,8430.0,-1.21,6.09,4.88,36.93
2019-09-27 00:00:00+00:00,8430.0,8054.0,-4.46,0.29,-4.17,37.22
