timestamp,open,close,xbtusd_daily_change,TRXU18_daily_btc,TRXU18_daily_usd,TRXU18_cumulative_btc
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-4.35,-8.99,-4.35
2018-07-02 00:00:00+00:00,6383.5,6346.0,-0.59,-0.66,-1.25,-5.01
2018-07-04 00:00:00+00:00,6610.0,6505.5,-1.58,-2.57,-4.15,-7.58
2018-07-06 00:00:00+00:00,6582.0,6526.5,-0.84,-3.26,-4.1,-10.84
2018-07-09 00:00:00+00:00,6756.5,6701.0,-0.82,0.0,-0.82,-10.84
2018-07-10 00:00:00+00:00,6701.0,6668.0,-0.49,-2.11,-2.6,-12.95
2018-07-11 00:00:00+00:00,6668.0,6304.0,-5.46,-2.88,-8.34,-15.83
2018-07-13 00:00:00+00:00,6371.0,6246.5,-1.95,-1.47,-3.42,-17.3
2018-07-14 00:00:00+00:00,6246.5,6213.0,-0.54,2.61,2.07,-14.69
2018-07-21 00:00:00+00:00,7466.5,7333.0,-1.79,-6.18,-7.97,-20.87
2018-07-23 00:00:00+00:00,7401.0,7391.5,-0.13,-1.21,-1.34,-22.08
2018-07-26 00:00:00+00:00,8391.0,8177.0,-2.55,1.08,-1.47,-21.0
2018-07-27 00:00:00+00:00,8177.0,7922.0,-3.12,-0.64,-3.76,-21.64
2018-07-30 00:00:00+00:00,8229.5,8219.0,-0.13,6.21,6.08,-15.43
2018-07-31 00:00:00+00:00,8219.0,8174.5,-0.54,-7.46,-8.0,-22.89
2018-08-01 00:00:00+00:00,8174.5,7727.0,-5.47,-3.05,-8.52,-25.94
2018-08-02 00:00:00+00:00,7727.0,7604.5,-1.59,-2.25,-3.84,-28.19
2018-08-03 00:00:00+00:00,7604.5,7539.5,-0.85,-3.68,-4.53,-31.87
2018-08-04 00:00:00+00:00,7539.5,7411.0,-1.7,-0.24,-1.94,-32.11
2018-08-05 00:00:00+00:00,7411.0,7005.5,-5.47,-0.96,-6.43,-33.07
2018-08-07 00:00:00+00:00,7019.5,6931.5,-1.25,-1.85,-3.1,-34.92
2018-08-08 00:00:00+00:00,6931.5,6711.5,-3.17,-1.89,-5.06,-36.81
2018-08-09 00:00:00+00:00,6711.5,6274.0,-6.52,-6.01,-12.53,-42.82
2018-08-11 00:00:00+00:00,6536.0,6138.0,-6.09,-3.27,-9.36,-46.09
2018-08-14 00:00:00+00:00,6308.5,6245.5,-1.0,-15.64,-16.64,-61.73
2018-08-15 00:00:00+00:00,6245.5,6193.5,-0.83,-1.66,-2.49,-63.39
2018-08-19 00:00:00+00:00,6578.5,6394.0,-2.8,-5.2,-8.0,-68.59
2018-08-21 00:00:00+00:00,6487.0,6253.5,-3.6,-7.44,-11.04,-76.03
2018-08-23 00:00:00+00:00,6467.0,6352.0,-1.78,-3.86,-5.64,-79.89
2018-08-27 00:00:00+00:00,6727.5,6701.5,-0.39,1.52,1.13,-78.37
2018-08-30 00:00:00+00:00,7076.5,7032.5,-0.62,-4.18,-4.8,-82.55
2018-08-31 00:00:00+00:00,7032.5,6977.0,-0.79,-1.36,-2.15,-83.91
2018-09-04 00:00:00+00:00,7295.0,7259.5,-0.49,-2.51,-3.0,-86.42
2018-09-06 00:00:00+00:00,7355.0,6689.0,-9.06,-9.14,-18.2,-95.56
2018-09-07 00:00:00+00:00,6689.0,6487.0,-3.02,4.72,1.7,-90.84
2018-09-08 00:00:00+00:00,6487.0,6398.0,-1.37,-4.2,-5.57,-95.04
2018-09-09 00:00:00+00:00,6398.0,6180.5,-3.4,-3.13,-6.53,-98.17
2018-09-12 00:00:00+00:00,6300.0,6278.5,-0.34,-6.86,-7.2,-105.03
2018-09-15 00:00:00+00:00,6487.5,6478.0,-0.15,0.0,-0.15,-105.03
2018-09-17 00:00:00+00:00,6515.5,6493.0,-0.35,0.66,0.31,-104.37
2018-09-18 00:00:00+00:00,6493.0,6247.0,-3.79,-3.91,-7.7,-108.28
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,-6.15,-6.71,-114.43
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,2.56,2.47,-111.87
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-6.94,-8.8,-118.81
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,-0.3,-2.57,-119.11
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,-4.17,-5.15,-123.28
