timestamp,open,close,xbtusd_daily_change,XRPU18_daily_btc,XRPU18_daily_usd,XRPU18_cumulative_btc
2018-06-22 00:00:00+00:00,6750.0,6710.5,-0.59,0.93,0.34,0.93
2018-06-23 00:00:00+00:00,6710.5,6048.5,-9.87,-0.96,-10.83,-0.03
2018-06-25 00:00:00+00:00,6165.0,6150.0,-0.24,-2.65,-2.89,-2.68
2018-06-27 00:00:00+00:00,6251.5,6074.0,-2.84,-3.45,-6.29,-6.13
2018-06-29 00:00:00+00:00,6129.0,5844.5,-4.64,-1.31,-5.95,-7.44
2018-07-02 00:00:00+00:00,6383.5,6346.0,-0.59,-0.9,-1.49,-8.34
2018-07-04 00:00:00+00:00,6610.0,6505.5,-1.58,0.6,-0.98,-7.74
2018-07-06 00:00:00+00:00,6582.0,6526.5,-0.84,-2.75,-3.59,-10.49
2018-07-09 00:00:00+00:00,6756.5,6701.0,-0.82,-1.24,-2.06,-11.73
2018-07-10 00:00:00+00:00,6701.0,6668.0,-0.49,-0.05,-0.54,-11.78
2018-07-11 00:00:00+00:00,6668.0,6304.0,-5.46,-0.97,-6.43,-12.75
2018-07-13 00:00:00+00:00,6371.0,6246.5,-1.95,-1.01,-2.96,-13.76
2018-07-14 00:00:00+00:00,6246.5,6213.0,-0.54,0.3,-0.24,-13.46
2018-07-21 00:00:00+00:00,7466.5,7333.0,-1.79,-6.24,-8.03,-19.7
2018-07-23 00:00:00+00:00,7401.0,7391.5,-0.13,-1.73,-1.86,-21.43
2018-07-26 00:00:00+00:00,8391.0,8177.0,-2.55,3.85,1.3,-17.58
2018-07-27 00:00:00+00:00,8177.0,7922.0,-3.12,0.26,-2.86,-17.32
2018-07-30 00:00:00+00:00,8229.5,8219.0,-0.13,-0.32,-0.45,-17.64
2018-07-31 00:00:00+00:00,8219.0,8174.5,-0.54,-2.22,-2.76,-19.86
2018-08-01 00:00:00+00:00,8174.5,7727.0,-5.47,3.61,-1.86,-16.25
2018-08-02 00:00:00+00:00,7727.0,7604.5,-1.59,3.55,1.96,-12.7
2018-08-03 00:00:00+00:00,7604.5,7539.5,-0.85,-2.89,-3.74,-15.59
2018-08-04 00:00:00+00:00,7539.5,7411.0,-1.7,5.05,3.35,-10.54
2018-08-05 00:00:00+00:00,7411.0,7005.5,-5.47,2.77,-2.7,-7.77
2018-08-07 00:00:00+00:00,7019.5,6931.5,-1.25,-4.32,-5.57,-12.09
2018-08-08 00:00:00+00:00,6931.5,6711.5,-3.17,-5.13,-8.3,-17.22
2018-08-09 00:00:00+00:00,6711.5,6274.0,-6.52,-6.93,-13.45,-24.15
2018-08-11 00:00:00+00:00,6536.0,6138.0,-6.09,-1.82,-7.91,-25.97
2018-08-14 00:00:00+00:00,6308.5,6245.5,-1.0,-7.06,-8.06,-33.03
2018-08-15 00:00:00+00:00,6245.5,6193.5,-0.83,0.84,0.01,-32.19
2018-08-19 00:00:00+00:00,6578.5,6394.0,-2.8,-7.98,-10.78,-40.17
2018-08-21 00:00:00+00:00,6487.0,6253.5,-3.6,-5.19,-8.79,-45.36
2018-08-23 00:00:00+00:00,6467.0,6352.0,-1.78,-3.1,-4.88,-48.46
2018-08-27 00:00:00+00:00,6727.5,6701.5,-0.39,-0.72,-1.11,-49.18
2018-08-30 00:00:00+00:00,7076.5,7032.5,-0.62,-1.61,-2.23,-50.79
2018-08-31 00:00:00+00:00,7032.5,6977.0,-0.79,-2.58,-3.37,-53.37
2018-09-04 00:00:00+00:00,7295.0,7259.5,-0.49,-1.68,-2.17,-55.05
2018-09-06 00:00:00+00:00,7355.0,6689.0,-9.06,-7.93,-16.99,-62.98
2018-09-07 00:00:00+00:00,6689.0,6487.0,-3.02,11.4,8.38,-51.58
2018-09-08 00:00:00+00:00,6487.0,6398.0,-1.37,-2.98,-4.35,-54.56
2018-09-09 00:00:00+00:00,6398.0,6180.5,-3.4,-0.56,-3.96,-55.12
2018-09-12 00:00:00+00:00,6300.0,6278.5,-0.34,-2.38,-2.72,-57.5
2018-09-15 00:00:00+00:00,6487.5,6478.0,-0.15,-0.86,-1.01,-58.36
2018-09-17 00:00:00+00:00,6515.5,6493.0,-0.35,0.37,0.02,-57.99
2018-09-18 00:00:00+00:00,6493.0,6247.0,-3.79,-0.18,-3.97,-58.17
2018-09-23 00:00:00+00:00,6746.5,6709.0,-0.56,3.37,2.81,-54.8
2018-09-24 00:00:00+00:00,6709.0,6703.0,-0.09,-0.21,-0.3,-55.01
2018-09-25 00:00:00+00:00,6703.0,6578.5,-1.86,-13.45,-15.31,-68.46
2018-09-26 00:00:00+00:00,6578.5,6429.0,-2.27,9.55,7.28,-58.91
2018-09-29 00:00:00+00:00,6685.5,6620.0,-0.98,-3.8,-4.78,-62.71
