timestamp,open,close,xbtusd_daily_change,XRPZ17_daily_btc,XRPZ17_daily_usd,XRPZ17_cumulative_btc
2017-09-15 00:00:00+00:00,3856.6,3222.9,-16.43,0.0,-16.43,0.0
2017-09-17 00:00:00+00:00,3706.1,3697.0,-0.25,-14.51,-14.76,-14.51
2017-09-18 00:00:00+00:00,3697.0,3687.1,-0.27,0.0,-0.27,-14.51
2017-09-20 00:00:00+00:00,4110.2,3883.8,-5.51,13.96,8.45,-0.55
2017-09-21 00:00:00+00:00,3883.8,3867.1,-0.43,-10.51,-10.94,-11.06
2017-09-22 00:00:00+00:00,3867.1,3611.0,-6.62,-1.0,-7.62,-12.06
2017-09-23 00:00:00+00:00,3611.0,3603.5,-0.21,0.0,-0.21,-12.06
2017-09-25 00:00:00+00:00,3778.9,3660.4,-3.14,1.98,-1.16,-10.08
2017-09-27 00:00:00+00:00,3925.5,3874.0,-1.31,-0.9,-2.21,-10.98
2017-09-29 00:00:00+00:00,4202.5,4187.9,-0.35,-5.92,-6.27,-16.9
2017-09-30 00:00:00+00:00,4187.9,4164.8,-0.55,-4.21,-4.76,-21.11
2017-10-04 00:00:00+00:00,4388.0,4318.3,-1.59,1.15,-0.44,-19.96
2017-10-05 00:00:00+00:00,4318.3,4213.3,-2.43,9.51,7.08,-10.45
2017-10-11 00:00:00+00:00,4798.8,4771.7,-0.56,2.92,2.36,-7.53
2017-10-16 00:00:00+00:00,5872.1,5711.1,-2.74,10.39,7.65,2.86
2017-10-18 00:00:00+00:00,5795.0,5600.0,-3.36,-10.26,-13.62,-7.4
2017-10-19 00:00:00+00:00,5600.0,5590.8,-0.16,-8.11,-8.27,-15.51
2017-10-23 00:00:00+00:00,6018.7,5986.0,-0.54,-5.69,-6.23,-21.2
2017-10-24 00:00:00+00:00,5986.0,5853.9,-2.21,1.67,-0.54,-19.53
2017-10-25 00:00:00+00:00,5853.9,5517.4,-5.75,8.86,3.11,-10.67
2017-10-28 00:00:00+00:00,5888.4,5769.3,-2.02,0.99,-1.03,-9.68
2017-10-29 00:00:00+00:00,5769.3,5727.1,-0.73,1.09,0.36,-8.59
2017-10-31 00:00:00+00:00,6159.3,6134.9,-0.4,3.77,3.37,-4.82
2017-11-06 00:00:00+00:00,7393.9,7378.3,-0.21,2.08,1.87,-2.74
2017-11-07 00:00:00+00:00,7378.3,6960.0,-5.67,6.66,0.99,3.92
2017-11-10 00:00:00+00:00,7465.0,7150.5,-4.21,0.0,-4.21,3.92
2017-11-11 00:00:00+00:00,7150.5,6564.0,-8.2,-0.44,-8.64,3.48
2017-11-12 00:00:00+00:00,6564.0,6345.5,-3.33,4.33,1.0,7.81
2017-11-13 00:00:00+00:00,6345.5,5846.5,-7.86,-2.74,-10.6,5.07
2017-11-18 00:00:00+00:00,7867.0,7674.0,-2.45,1.06,-1.39,6.13
2017-11-22 00:00:00+00:00,8243.0,8098.5,-1.75,0.1,-1.65,6.23
2017-11-24 00:00:00+00:00,8219.0,7988.5,-2.8,3.57,0.77,9.8
2017-11-30 00:00:00+00:00,9938.0,9869.5,-0.69,-20.06,-20.75,-10.26
2017-12-09 00:00:00+00:00,17427.0,16272.0,-6.63,21.7,15.07,11.44
2017-12-10 00:00:00+00:00,16272.0,14984.5,-7.91,9.45,1.54,20.89
2017-12-14 00:00:00+00:00,17236.0,16436.5,-4.64,30.46,25.82,51.35
2017-12-18 00:00:00+00:00,19547.5,19287.5,-1.33,-3.18,-4.51,48.17
2017-12-19 00:00:00+00:00,19287.5,19127.0,-0.83,6.8,5.97,54.97
2017-12-20 00:00:00+00:00,19127.0,17663.0,-7.65,5.41,-2.24,60.38
2017-12-21 00:00:00+00:00,17663.0,16463.0,-6.79,2.61,-4.18,62.99
2017-12-22 00:00:00+00:00,16463.0,15775.0,-4.18,66.85,62.67,129.84
2017-12-23 00:00:00+00:00,15775.0,13763.5,-12.75,4.51,-8.24,134.35
2017-12-25 00:00:00+00:00,14719.5,14227.5,-3.34,-0.17,-3.51,134.18
2017-12-26 00:00:00+00:00,14227.5,13989.5,-1.67,-1.03,-2.7,133.15
2017-12-28 00:00:00+00:00,15833.5,15380.5,-2.86,16.55,13.69,149.7
2017-12-29 00:00:00+00:00,15380.5,14480.0,-5.85,10.69,4.84,160.39
